reg,lpo,sim
1,3.4021621621621616,94
1,3.4083783783783783,94
1,3.414594594594594,93
1,3.4208108108108104,93
1,3.4270270270270267,92
1,3.433243243243243,92
1,3.439459459459459,91
1,3.4456756756756755,91
1,3.4518918918918917,90
1,3.4581081081081075,89
1,3.4643243243243242,89
1,3.47054054054054,88
1,3.4767567567567563,88
1,3.4829729729729726,87
1,3.489189189189189,86
1,3.495405405405405,86
1,3.5016216216216214,85
1,3.5078378378378376,85
1,3.514054054054054,84
1,3.5202702702702697,83
1,3.526486486486486,83
1,3.5327027027027023,82
1,3.5389189189189185,81
1,3.545135135135135,81
1,3.551351351351351,80
1,3.5575675675675673,80
1,3.5637837837837836,79
1,3.57,78
1,3.5762162162162157,78
1,3.582432432432432,77
1,3.588648648648648,77
1,3.5948648648648645,76
1,3.6010810810810807,75
1,3.607297297297297,75
1,3.6135135135135132,74
1,3.6197297297297295,74
1,3.6259459459459458,73
1,3.6321621621621616,73
1,3.638378378378378,72
1,3.644594594594594,71
1,3.6508108108108104,71
1,3.6570270270270266,70
1,3.663243243243243,70
1,3.669459459459459,69
1,3.6756756756756754,69
1,3.6818918918918917,68
1,3.688108108108108,68
1,3.694324324324324,68
1,3.70054054054054,67
1,3.7067567567567563,67
1,3.7129729729729726,66
1,3.719189189189189,66
1,3.725405405405405,65
1,3.7316216216216214,65
1,3.7378378378378376,65
1,3.744054054054054,64
1,3.7502702702702697,64
1,3.756486486486486,64
1,3.7627027027027022,63
1,3.7689189189189185,63
1,3.7751351351351348,63
1,3.781351351351351,62
1,3.7875675675675673,62
1,3.7937837837837836,62
1,3.8,61
1,3.8062162162162156,61
1,3.812432432432432,61
1,3.818648648648648,60
1,3.8248648648648644,60
1,3.8310810810810807,60
1,3.837297297297297,60
1,3.8435135135135132,59
1,3.8497297297297295,59
1,3.8559459459459458,59
1,3.8621621621621616,59
1,3.868378378378378,59
1,3.874594594594594,58
1,3.8808108108108104,58
1,3.8870270270270266,58
1,3.893243243243243,58
1,3.899459459459459,58
1,3.9056756756756754,58
1,3.9118918918918917,57
1,3.9181081081081075,57
1,3.9243243243243238,57
1,3.93054054054054,57
1,3.9367567567567563,57
1,3.9429729729729726,57
1,3.949189189189189,56
1,3.955405405405405,56
1,3.9616216216216213,56
1,3.9678378378378376,56
1,3.9740540540540534,56
1,3.9802702702702697,56
1,3.986486486486486,56
1,3.9927027027027022,56
1,3.9989189189189185,56
1,4.005135135135134,55
1,4.011351351351351,55
1,4.017567567567568,55
1,4.0237837837837835,55
1,4.029999999999999,55
1,4.036216216216216,55
1,4.042432432432432,55
1,4.048648648648648,55
1,4.054864864864864,55
1,4.061081081081081,55
1,4.067297297297297,55
1,4.073513513513513,55
1,4.0797297297297295,55
1,4.085945945945945,55
1,4.092162162162161,54
1,4.098378378378378,54
1,4.1045945945945945,54
1,4.11081081081081,54
1,4.117027027027026,54
1,4.123243243243243,54
1,4.12945945945946,54
1,4.135675675675675,54
1,4.141891891891891,54
1,4.148108108108108,54
1,4.154324324324324,54
1,4.16054054054054,54
1,4.166756756756756,54
1,4.172972972972973,54
1,4.179189189189189,54
1,4.185405405405405,54
1,4.191621621621621,54
1,4.197837837837838,54
1,4.204054054054053,54
1,4.21027027027027,54
1,4.216486486486486,54
1,4.222702702702702,54
1,4.228918918918918,54
1,4.235135135135135,54
1,4.241351351351351,54
1,4.247567567567567,54
1,4.253783783783783,54
1,4.26,53
1,4.266216216216216,53
1,4.272432432432431,53
1,4.278648648648648,53
1,4.284864864864865,53
1,4.291081081081081,53
1,4.2972972972972965,53
1,4.303513513513513,53
1,4.30972972972973,53
1,4.315945945945945,53
1,4.3221621621621615,53
1,4.328378378378378,53
1,4.334594594594594,53
1,4.34081081081081,53
1,4.347027027027027,53
1,4.353243243243243,53
1,4.359459459459459,53
1,4.365675675675675,53
1,4.371891891891892,53
1,4.3781081081081075,53
1,4.384324324324323,53
1,4.39054054054054,53
1,4.396756756756757,53
1,4.4029729729729725,53
1,4.409189189189188,53
1,4.415405405405405,53
1,4.421621621621622,53
1,4.427837837837837,53
1,4.434054054054053,53
1,4.44027027027027,53
1,4.446486486486486,53
1,4.452702702702702,53
1,4.4589189189189185,53
1,4.465135135135135,53
1,4.471351351351351,53
1,4.477567567567567,53
1,4.4837837837837835,53
1,4.489999999999999,53
1,4.496216216216215,53
1,4.502432432432432,53
1,4.508648648648649,53
1,4.514864864864864,53
1,4.52108108108108,53
1,4.527297297297297,53
1,4.533513513513514,53
1,4.539729729729729,53
1,4.545945945945945,53
1,4.552162162162162,53
1,4.558378378378378,53
1,4.564594594594594,53
1,4.57081081081081,53
1,4.577027027027027,53
1,4.583243243243243,53
1,4.589459459459459,53
1,4.595675675675675,53
1,4.601891891891891,53
1,4.608108108108107,53
1,4.614324324324324,53
1,4.62054054054054,53
1,4.626756756756756,53
1,4.632972972972972,53
1,4.639189189189189,53
1,4.6454054054054055,53
1,4.651621621621621,53
1,4.657837837837837,53
1,4.664054054054054,53
1,4.67027027027027,53
1,4.6764864864864855,53
1,4.682702702702702,53
1,4.688918918918919,53
1,4.695135135135135,53
1,4.7013513513513505,53
1,4.707567567567567,53
1,4.713783783783783,53
1,4.719999999999999,53
1,4.726216216216216,53
1,4.732432432432432,53
1,4.738648648648648,53
1,4.744864864864864,53
1,4.751081081081081,53
1,4.757297297297297,53
1,4.763513513513513,53
1,4.769729729729729,53
1,4.775945945945946,53
1,4.7821621621621615,53
1,4.788378378378377,53
1,4.794594594594594,53
1,4.800810810810811,53
1,4.8070270270270266,53
1,4.813243243243242,53
1,4.819459459459459,53
1,4.825675675675675,53
1,4.831891891891891,53
1,4.838108108108107,53
1,4.844324324324324,53
1,4.85054054054054,53
1,4.856756756756756,53
1,4.8629729729729725,53
1,4.869189189189189,53
1,4.875405405405405,53
1,4.881621621621621,53
1,4.8878378378378375,53
1,4.894054054054053,53
1,4.900270270270269,53
1,4.906486486486486,53
1,4.912702702702703,53
1,4.918918918918918,53
1,4.925135135135134,53
1,4.931351351351351,53
1,4.937567567567568,53
1,4.943783783783783,53
1,4.949999999999999,53
1,4.956216216216216,53
1,4.962432432432432,53
1,4.968648648648648,53
1,4.974864864864864,53
1,4.981081081081081,53
1,4.987297297297297,53
1,4.993513513513513,53
1,4.999729729729729,53
1,5.005945945945945,53
1,5.012162162162161,53
1,5.018378378378378,53
1,5.0245945945945945,53
1,5.03081081081081,53
1,5.037027027027026,53
1,5.043243243243243,53
1,5.0494594594594595,53
1,5.055675675675674,53
1,5.061891891891891,53
1,5.068108108108108,53
1,5.074324324324324,53
1,5.0805405405405395,53
1,5.086756756756756,53
1,5.092972972972973,53
1,5.099189189189189,53
1,5.1054054054054046,53
1,5.111621621621621,53
1,5.117837837837837,53
1,5.124054054054053,53
1,5.13027027027027,53
1,5.136486486486486,53
1,5.142702702702702,53
1,5.148918918918918,53
1,5.155135135135135,53
1,5.161351351351351,53
1,5.167567567567566,53
1,5.173783783783783,53
1,5.18,53
1,5.1862162162162155,53
1,5.192432432432431,53
1,5.198648648648648,53
1,5.204864864864865,53
1,5.211081081081081,53
1,5.217297297297296,53
1,5.223513513513513,53
1,5.229729729729729,53
1,5.235945945945945,53
1,5.2421621621621615,53
1,5.248378378378378,53
1,5.254594594594594,53
1,5.26081081081081,53
1,5.2670270270270265,53
1,5.273243243243243,53
1,5.279459459459459,53
1,5.285675675675675,53
1,5.291891891891892,53
1,5.298108108108107,53
1,5.304324324324323,53
1,5.31054054054054,53
1,5.316756756756757,53
1,5.3229729729729724,53
1,5.329189189189188,53
1,5.335405405405405,53
1,5.341621621621621,53
1,5.347837837837837,53
1,5.354054054054053,53
1,5.36027027027027,53
1,5.366486486486486,53
1,5.372702702702702,53
1,5.378918918918918,53
1,5.385135135135135,53
1,5.391351351351351,53
1,5.397567567567567,53
1,5.403783783783783,53
1,5.409999999999999,53
1,5.416216216216215,53
1,5.422432432432432,53
1,5.4286486486486485,53
1,5.434864864864864,53
1,5.44108108108108,53
1,5.447297297297297,53
1,5.453513513513513,53
1,5.4597297297297285,53
1,5.465945945945945,53
1,5.472162162162162,53
1,5.478378378378378,53
1,5.4845945945945935,53
1,5.49081081081081,53
1,5.497027027027027,53
1,5.503243243243243,53
1,5.509459459459459,53
1,5.515675675675675,53
1,5.521891891891891,53
1,5.528108108108108,53
1,5.534324324324324,53
1,5.5405405405405395,53
1,5.546756756756756,53
1,5.552972972972972,53
1,5.559189189189189,53
1,5.5654054054054045,53
1,5.571621621621621,53
1,5.577837837837837,53
1,5.584054054054054,53
1,5.59027027027027,53
1,5.596486486486485,53
1,5.602702702702702,53
1,5.608918918918918,53
1,5.615135135135135,53
1,5.6213513513513504,53
1,5.627567567567567,53
1,5.633783783783783,53
1,5.64,53
1,5.6462162162162155,53
1,5.652432432432431,53
1,5.658648648648648,53
1,5.664864864864864,53
1,5.6710810810810806,53
1,5.677297297297296,53
1,5.683513513513513,53
1,5.689729729729729,53
1,5.695945945945946,53
1,5.702162162162161,53
1,5.708378378378377,53
1,5.714594594594594,53
1,5.72081081081081,53
1,5.7270270270270265,53
1,5.733243243243242,53
1,5.739459459459459,53
1,5.745675675675675,53
1,5.7518918918918915,53
1,5.758108108108107,53
1,5.764324324324323,53
1,5.77054054054054,53
1,5.776756756756756,53
1,5.782972972972972,53
1,5.789189189189188,53
1,5.795405405405405,53
1,5.801621621621621,53
1,5.8078378378378375,53
1,5.814054054054053,53
1,5.820270270270269,53
1,5.826486486486486,53
1,5.832702702702702,53
1,5.838918918918918,53
1,5.845135135135134,53
1,5.851351351351351,53
1,5.857567567567567,53
1,5.863783783783783,53
1,5.869999999999999,53
1,5.876216216216216,53
1,5.882432432432432,53
1,5.888648648648648,53
1,5.894864864864864,53
1,5.90108108108108,53
1,5.907297297297297,53
1,5.913513513513513,53
1,5.919729729729729,53
1,5.925945945945945,53
1,5.932162162162162,53
1,5.938378378378378,53
