reg,conc,sim
1,1.1891891891891895,6263
1,1.193693693693694,6278
1,1.1981981981981984,6292
1,1.2027027027027029,6307
1,1.2072072072072073,6322
1,1.211711711711712,6337
1,1.2162162162162165,6351
1,1.220720720720721,6366
1,1.2252252252252254,6381
1,1.22972972972973,6396
1,1.2342342342342345,6410
1,1.238738738738739,6425
1,1.2432432432432434,6440
1,1.2477477477477479,6455
1,1.2522522522522526,6470
1,1.256756756756757,6485
1,1.2612612612612615,6500
1,1.265765765765766,6515
1,1.2702702702702704,6530
1,1.274774774774775,6545
1,1.2792792792792795,6560
1,1.283783783783784,6576
1,1.2882882882882885,6591
1,1.292792792792793,6606
1,1.2972972972972976,6621
1,1.301801801801802,6636
1,1.3063063063063065,6652
1,1.310810810810811,6667
1,1.3153153153153154,6682
1,1.31981981981982,6698
1,1.3243243243243246,6713
1,1.328828828828829,6728
1,1.3333333333333335,6744
1,1.337837837837838,6759
1,1.3423423423423426,6775
1,1.346846846846847,6790
1,1.3513513513513515,6806
1,1.355855855855856,6821
1,1.3603603603603607,6837
1,1.3648648648648651,6852
1,1.3693693693693696,6868
1,1.373873873873874,6884
1,1.3783783783783785,6899
1,1.3828828828828832,6915
1,1.3873873873873876,6931
1,1.391891891891892,6947
1,1.3963963963963966,6962
1,1.400900900900901,6978
1,1.4054054054054057,6994
1,1.4099099099099102,7010
1,1.4144144144144146,7026
1,1.418918918918919,7042
1,1.4234234234234235,7058
1,1.4279279279279282,7073
1,1.4324324324324327,7089
1,1.4369369369369371,7105
1,1.4414414414414416,7121
1,1.445945945945946,7137
1,1.4504504504504507,7153
1,1.4549549549549552,7170
1,1.4594594594594597,7186
1,1.463963963963964,7202
1,1.4684684684684686,7218
1,1.4729729729729732,7234
1,1.4774774774774777,7250
1,1.4819819819819822,7266
1,1.4864864864864866,7283
1,1.4909909909909913,7299
1,1.4954954954954958,7315
1,1.5000000000000002,7331
1,1.5045045045045047,7348
1,1.5090090090090091,7364
1,1.5135135135135138,7380
1,1.5180180180180183,7397
1,1.5225225225225227,7413
1,1.5270270270270272,7429
1,1.5315315315315317,7446
1,1.5360360360360363,7462
1,1.5405405405405408,7478
1,1.5450450450450453,7495
1,1.5495495495495497,7511
1,1.5540540540540542,7528
1,1.5585585585585588,7544
1,1.5630630630630633,7561
1,1.5675675675675678,7577
1,1.5720720720720722,7594
1,1.5765765765765767,7610
1,1.5810810810810814,7627
1,1.5855855855855858,7643
1,1.5900900900900903,7660
1,1.5945945945945947,7676
1,1.5990990990990992,7693
1,1.6036036036036039,7709
1,1.6081081081081083,7726
1,1.6126126126126128,7742
1,1.6171171171171173,7759
1,1.621621621621622,7776
1,1.6261261261261264,7792
1,1.6306306306306309,7809
1,1.6351351351351353,7825
1,1.6396396396396398,7842
1,1.6441441441441444,7858
1,1.648648648648649,7875
1,1.6531531531531534,7891
1,1.6576576576576578,7908
1,1.6621621621621623,7924
1,1.666666666666667,7941
1,1.6711711711711714,7957
1,1.6756756756756759,7973
1,1.6801801801801803,7990
1,1.6846846846846848,8006
1,1.6891891891891895,8022
1,1.693693693693694,8039
1,1.6981981981981984,8055
1,1.7027027027027029,8071
1,1.7072072072072073,8087
1,1.711711711711712,8104
1,1.7162162162162165,8120
1,1.720720720720721,8136
1,1.7252252252252254,8152
1,1.72972972972973,8168
1,1.7342342342342345,8184
1,1.738738738738739,8200
1,1.7432432432432434,8215
1,1.7477477477477479,8231
1,1.7522522522522526,8247
1,1.756756756756757,8262
1,1.7612612612612615,8278
1,1.765765765765766,8293
1,1.7702702702702704,8309
1,1.774774774774775,8324
1,1.7792792792792795,8339
1,1.783783783783784,8354
1,1.7882882882882885,8369
1,1.792792792792793,8384
1,1.7972972972972976,8399
1,1.801801801801802,8413
1,1.8063063063063065,8428
1,1.810810810810811,8442
1,1.8153153153153154,8457
1,1.81981981981982,8471
1,1.8243243243243246,8485
1,1.828828828828829,8499
1,1.8333333333333335,8512
1,1.837837837837838,8526
1,1.8423423423423426,8540
1,1.846846846846847,8553
1,1.8513513513513515,8566
1,1.855855855855856,8579
1,1.8603603603603607,8592
1,1.8648648648648651,8605
1,1.8693693693693696,8617
1,1.873873873873874,8629
1,1.8783783783783785,8642
1,1.8828828828828832,8654
1,1.8873873873873876,8665
1,1.891891891891892,8677
1,1.8963963963963966,8688
1,1.900900900900901,8700
1,1.9054054054054057,8711
1,1.9099099099099102,8722
1,1.9144144144144146,8732
1,1.918918918918919,8743
1,1.9234234234234235,8753
1,1.9279279279279282,8763
1,1.9324324324324327,8773
1,1.9369369369369371,8783
1,1.9414414414414416,8792
1,1.945945945945946,8801
1,1.9504504504504507,8810
1,1.9549549549549552,8819
1,1.9594594594594597,8828
1,1.963963963963964,8836
1,1.9684684684684686,8845
1,1.9729729729729732,8853
1,1.9774774774774777,8861
1,1.9819819819819822,8868
1,1.9864864864864866,8876
1,1.9909909909909913,8883
1,1.9954954954954958,8890
1,2,8897
1,2.0045045045045047,8904
1,2.009009009009009,8910
1,2.0135135135135136,8916
1,2.018018018018018,8923
1,2.0225225225225225,8928
1,2.027027027027027,8934
1,2.0315315315315314,8940
1,2.036036036036036,8945
1,2.0405405405405403,8951
1,2.045045045045045,8956
1,2.0495495495495497,8961
1,2.054054054054054,8966
1,2.0585585585585586,8970
1,2.063063063063063,8975
1,2.0675675675675675,8979
1,2.0720720720720722,8983
1,2.0765765765765765,8987
1,2.081081081081081,8991
1,2.0855855855855854,8995
1,2.09009009009009,8999
1,2.0945945945945947,9002
1,2.099099099099099,9006
1,2.1036036036036037,9009
1,2.108108108108108,9012
1,2.1126126126126126,9016
1,2.1171171171171173,9019
1,2.1216216216216215,9021
1,2.126126126126126,9024
1,2.1306306306306304,9027
1,2.135135135135135,9030
1,2.1396396396396398,9032
1,2.144144144144144,9034
1,2.1486486486486487,9037
1,2.153153153153153,9039
1,2.1576576576576576,9041
1,2.1621621621621623,9043
1,2.1666666666666665,9045
1,2.171171171171171,9047
1,2.1756756756756754,9049
1,2.18018018018018,9051
1,2.184684684684685,9053
1,2.189189189189189,9054
1,2.1936936936936937,9056
1,2.1981981981981984,9057
1,2.2027027027027026,9059
1,2.2072072072072073,9060
1,2.2117117117117115,9062
1,2.2162162162162162,9063
1,2.220720720720721,9064
1,2.225225225225225,9066
1,2.22972972972973,9067
1,2.234234234234234,9068
1,2.2387387387387387,9069
1,2.2432432432432434,9070
1,2.2477477477477477,9071
1,2.2522522522522523,9072
1,2.2567567567567566,9073
1,2.2612612612612613,9074
1,2.265765765765766,9075
1,2.27027027027027,9076
1,2.274774774774775,9076
1,2.279279279279279,9077
1,2.2837837837837838,9078
1,2.2882882882882885,9079
1,2.2927927927927927,9079
1,2.2972972972972974,9080
1,2.3018018018018016,9081
1,2.3063063063063063,9081
1,2.310810810810811,9082
1,2.315315315315315,9083
1,2.31981981981982,9083
1,2.324324324324324,9084
1,2.328828828828829,9084
1,2.3333333333333335,9085
1,2.3378378378378377,9085
1,2.3423423423423424,9086
1,2.3468468468468466,9086
1,2.3513513513513513,9086
1,2.355855855855856,9087
1,2.3603603603603602,9087
1,2.364864864864865,9088
1,2.369369369369369,9088
1,2.373873873873874,9088
1,2.3783783783783785,9089
1,2.3828828828828827,9089
1,2.3873873873873874,9089
1,2.3918918918918917,9090
1,2.3963963963963963,9090
1,2.400900900900901,9090
1,2.4054054054054053,9090
1,2.40990990990991,9091
1,2.414414414414414,9091
1,2.418918918918919,9091
1,2.4234234234234235,9091
1,2.4279279279279278,9092
1,2.4324324324324325,9092
1,2.436936936936937,9092
1,2.4414414414414414,9092
1,2.445945945945946,9092
1,2.4504504504504503,9093
1,2.454954954954955,9093
1,2.4594594594594597,9093
1,2.463963963963964,9093
1,2.4684684684684686,9093
1,2.472972972972973,9094
1,2.4774774774774775,9094
1,2.481981981981982,9094
1,2.4864864864864864,9094
1,2.490990990990991,9094
1,2.4954954954954953,9094
1,2.5,9094
1,2.5045045045045047,9094
1,2.509009009009009,9095
1,2.5135135135135136,9095
1,2.518018018018018,9095
1,2.5225225225225225,9095
1,2.527027027027027,9095
1,2.5315315315315314,9095
1,2.536036036036036,9095
1,2.5405405405405403,9095
1,2.545045045045045,9095
1,2.5495495495495497,9095
1,2.554054054054054,9096
1,2.5585585585585586,9096
1,2.563063063063063,9096
1,2.5675675675675675,9096
1,2.5720720720720722,9096
1,2.5765765765765765,9096
1,2.581081081081081,9096
1,2.5855855855855854,9096
1,2.59009009009009,9096
1,2.5945945945945947,9096
1,2.599099099099099,9096
1,2.6036036036036037,9096
1,2.608108108108108,9096
1,2.6126126126126126,9096
1,2.6171171171171173,9096
1,2.6216216216216215,9096
1,2.626126126126126,9096
1,2.6306306306306304,9097
1,2.635135135135135,9097
1,2.6396396396396398,9097
1,2.644144144144144,9097
1,2.6486486486486487,9097
1,2.653153153153153,9097
1,2.6576576576576576,9097
1,2.6621621621621623,9097
1,2.6666666666666665,9097
1,2.671171171171171,9097
1,2.6756756756756754,9097
1,2.68018018018018,9097
1,2.684684684684685,9097
1,2.689189189189189,9097
1,2.6936936936936937,9097
1,2.6981981981981984,9097
1,2.7027027027027026,9097
1,2.7072072072072073,9097
1,2.7117117117117115,9097
