reg,fv_fm,sim
1,0.34634634634634637,54
1,0.34734734734734735,54
1,0.3483483483483483,54
1,0.34934934934934936,54
1,0.35035035035035034,55
1,0.35135135135135137,55
1,0.35235235235235235,55
1,0.35335335335335333,55
1,0.35435435435435436,55
1,0.35535535535535534,55
1,0.3563563563563564,55
1,0.35735735735735735,56
1,0.35835835835835833,56
1,0.35935935935935936,56
1,0.36036036036036034,56
1,0.3613613613613614,56
1,0.36236236236236236,56
1,0.36336336336336333,56
1,0.36436436436436437,57
1,0.36536536536536535,57
1,0.3663663663663664,57
1,0.36736736736736736,57
1,0.3683683683683684,57
1,0.36936936936936937,57
1,0.37037037037037035,57
1,0.3713713713713714,58
1,0.37237237237237236,58
1,0.3733733733733734,58
1,0.3743743743743744,58
1,0.37537537537537535,58
1,0.3763763763763764,58
1,0.37737737737737737,59
1,0.3783783783783784,59
1,0.3793793793793794,59
1,0.38038038038038036,59
1,0.3813813813813814,59
1,0.38238238238238237,59
1,0.3833833833833834,59
1,0.3843843843843844,60
1,0.38538538538538536,60
1,0.3863863863863864,60
1,0.38738738738738737,60
1,0.3883883883883884,60
1,0.3893893893893894,60
1,0.39039039039039036,60
1,0.3913913913913914,61
1,0.3923923923923924,61
1,0.3933933933933934,61
1,0.3943943943943944,61
1,0.39539539539539537,61
1,0.3963963963963964,61
1,0.3973973973973974,62
1,0.3983983983983984,62
1,0.3993993993993994,62
1,0.40040040040040037,62
1,0.4014014014014014,62
1,0.4024024024024024,62
1,0.4034034034034034,62
1,0.4044044044044044,63
1,0.40540540540540543,63
1,0.4064064064064064,63
1,0.4074074074074074,63
1,0.4084084084084084,63
1,0.4094094094094094,63
1,0.41041041041041043,63
1,0.4114114114114114,64
1,0.4124124124124124,64
1,0.4134134134134134,64
1,0.4144144144144144,64
1,0.41541541541541543,64
1,0.4164164164164164,64
1,0.4174174174174174,65
1,0.4184184184184184,65
1,0.4194194194194194,65
1,0.42042042042042044,65
1,0.4214214214214214,65
1,0.4224224224224224,65
1,0.42342342342342343,65
1,0.4244244244244244,66
1,0.42542542542542544,66
1,0.4264264264264264,66
1,0.4274274274274274,66
1,0.42842842842842843,66
1,0.4294294294294294,66
1,0.43043043043043044,67
1,0.4314314314314314,67
1,0.43243243243243246,67
1,0.43343343343343343,67
1,0.4344344344344344,67
1,0.43543543543543545,67
1,0.4364364364364364,67
1,0.43743743743743746,68
1,0.43843843843843844,68
1,0.4394394394394394,68
1,0.44044044044044045,68
1,0.44144144144144143,68
1,0.44244244244244246,68
1,0.44344344344344344,69
1,0.4444444444444444,69
1,0.44544544544544545,69
1,0.44644644644644643,69
1,0.44744744744744747,69
1,0.44844844844844844,69
1,0.4494494494494494,70
1,0.45045045045045046,70
1,0.45145145145145144,70
1,0.45245245245245247,70
1,0.45345345345345345,70
1,0.4544544544544544,70
1,0.45545545545545546,70
1,0.45645645645645644,71
1,0.4574574574574575,71
1,0.45845845845845845,71
1,0.45945945945945943,71
1,0.46046046046046046,71
1,0.46146146146146144,71
1,0.4624624624624625,72
1,0.46346346346346345,72
1,0.46446446446446443,72
1,0.46546546546546547,72
1,0.46646646646646645,72
1,0.4674674674674675,72
1,0.46846846846846846,73
1,0.4694694694694695,73
1,0.47047047047047047,73
1,0.47147147147147145,73
1,0.4724724724724725,73
1,0.47347347347347346,73
1,0.4744744744744745,73
1,0.4754754754754755,74
1,0.47647647647647645,74
1,0.4774774774774775,74
1,0.47847847847847846,74
1,0.4794794794794795,74
1,0.4804804804804805,74
1,0.48148148148148145,75
1,0.4824824824824825,75
1,0.48348348348348347,75
1,0.4844844844844845,75
1,0.4854854854854855,75
1,0.48648648648648646,75
1,0.4874874874874875,76
1,0.48848848848848847,76
1,0.4894894894894895,76
1,0.4904904904904905,76
1,0.49149149149149146,76
1,0.4924924924924925,76
1,0.4934934934934935,76
1,0.4944944944944945,77
1,0.4954954954954955,77
1,0.4964964964964965,77
1,0.4974974974974975,77
1,0.4984984984984985,77
1,0.4994994994994995,77
1,0.5005005005005005,78
1,0.5015015015015015,78
1,0.5025025025025025,78
1,0.5035035035035035,78
1,0.5045045045045045,78
1,0.5055055055055055,78
1,0.5065065065065065,79
1,0.5075075075075075,79
1,0.5085085085085085,79
1,0.5095095095095095,79
1,0.5105105105105106,79
1,0.5115115115115115,79
1,0.5125125125125125,80
1,0.5135135135135135,80
1,0.5145145145145145,80
1,0.5155155155155156,80
1,0.5165165165165165,80
1,0.5175175175175175,80
1,0.5185185185185185,81
1,0.5195195195195195,81
1,0.5205205205205206,81
1,0.5215215215215215,81
1,0.5225225225225225,81
1,0.5235235235235235,81
1,0.5245245245245245,81
1,0.5255255255255256,82
1,0.5265265265265265,82
1,0.5275275275275275,82
1,0.5285285285285285,82
1,0.5295295295295295,82
1,0.5305305305305306,82
1,0.5315315315315315,83
1,0.5325325325325325,83
1,0.5335335335335335,83
1,0.5345345345345345,83
1,0.5355355355355356,83
1,0.5365365365365365,83
1,0.5375375375375375,84
1,0.5385385385385385,84
1,0.5395395395395395,84
1,0.5405405405405406,84
1,0.5415415415415415,84
1,0.5425425425425425,84
1,0.5435435435435435,85
1,0.5445445445445445,85
1,0.5455455455455456,85
1,0.5465465465465466,85
1,0.5475475475475475,85
1,0.5485485485485485,85
1,0.5495495495495496,86
1,0.5505505505505506,86
1,0.5515515515515516,86
1,0.5525525525525525,86
1,0.5535535535535535,86
1,0.5545545545545546,86
1,0.5555555555555556,87
1,0.5565565565565566,87
1,0.5575575575575575,87
1,0.5585585585585585,87
1,0.5595595595595596,87
1,0.5605605605605606,87
1,0.5615615615615616,88
