reg,oxphos,sim
1,3524,3.2829052097877724
1,3537,3.326142138161601
1,3551,3.3731883550000106
1,3565,3.42073399979453
1,3579,3.468777012553473
1,3593,3.5173151602003996
1,3607,3.566346036095431
1,3621,3.615867059683766
1,3635,3.6658754762733583
1,3648,3.7127457213607133
1,3662,3.7636856866969097
1,3676,3.815103975729362
1,3690,3.8669971500287357
1,3704,3.9193615978732064
1,3718,3.9721935348222326
1,3732,4.0254890044281355
1,3745,4.07538910046745
1,3759,4.129566720880293
1,3773,4.184195306395595
1,3787,4.239270234363636
1,3801,4.294786715660302
1,3815,4.35073979622042
1,3829,4.407124358708644
1,3843,4.4639351243271035
1,3856,4.5170648527697175
1,3870,4.574682086219764
1,3884,4.632709153619381
1,3898,4.691140161931556
1,3912,4.749969067522015
1,3926,4.809189678749514
1,3940,4.868795658681592
1,3954,4.92878052793335
1,3967,4.984814240908772
1,3981,5.0455110144110416
1,3995,5.106566910926968
1,4009,5.167974921184261
1,4023,5.2297279091533815
1,4037,5.291818615556365
1,4051,5.3542396614770755
1,4065,5.416983552069083
1,4078,5.475528166474345
1,4092,5.538873109461768
1,4106,5.602518317364704
1,4120,5.666455877527872
1,4134,5.730677780929749
1,4148,5.795175926384216
1,4162,5.85994212481006
1,4176,5.9249681035636055
1,4189,5.985574679927324
1,4203,6.051078012854611
1,4217,6.116816460120463
1,4231,6.1827814637914065
1,4245,6.248964404482655
1,4259,6.315356605963957
1,4273,6.381949339794031
1,4286,6.443957337766646
1,4300,6.51091199177464
1,4314,6.578041360020405
1,4328,6.645336554191613
1,4342,6.712788656850822
1,4356,6.780388726134211
1,4370,6.848127800443567
1,4384,6.915996903126509
1,4397,6.9791267858583215
1,4411,7.047221273224518
1,4425,7.11541945756793
1,4439,7.183712348017743
1,4453,7.252090961380022
1,4467,7.32054632664941
1,4481,7.3890694894764986
1,4495,7.4576515165865525
1,4508,7.521379748344662
1,4522,7.590050169824005
1,4536,7.658753456083242
1,4550,7.727480798350994
1,4564,7.796223429859677
1,4578,7.864972629893587
1,4592,7.93371972776182
1,4606,8.002456106692826
1,4619,8.066265664139353
1,4633,8.134957253947526
1,4647,8.203613235809675
1,4661,8.27222524088409
1,4675,8.340784972198126
1,4689,8.409284208019606
1,4703,8.47771480513167
1,4717,8.546068702009029
1,4730,8.609464525909155
1,4744,8.67764805135272
1,4758,8.745731766347243
1,4772,8.81370795910647
1,4786,8.881569013695064
1,4800,8.949307412589166
1,4814,9.016915739129375
1,4827,9.079572037396167
1,4841,9.146908949211438
1,4855,9.214094670346524
1,4869,9.281122202064742
1,4883,9.347984656993985
1,4897,9.414675260933313
1,4911,9.481187354550489
1,4925,9.547514394970833
1,4938,9.608932473680099
1,4952,9.67488458617161
1,4966,9.740633167622702
1,4980,9.80617214599274
1,4994,9.871495571963179
1,5008,9.93659761989683
1,5022,10.001472588694533
1,5036,10.066114902550526
1,5049,10.125926821507443
1,5063,10.190105163975513
1,5077,10.254035248860971
1,5091,10.317711998005691
1,5105,10.38113046083878
1,5119,10.44428581456348
1,5133,10.507173364254415
1,5147,10.56978854286704
1,5160,10.627683443151074
1,5174,10.689760909937174
1,5188,10.75155336526944
1,5202,10.813056742972819
1,5216,10.874267103587348
1,5230,10.93518063390047
1,5244,10.995793646406465
1,5258,11.056102578695345
1,5271,11.111828447152664
1,5285,11.171541338311073
1,5299,11.230940429381329
1,5313,11.290022642212001
1,5327,11.348785019783291
1,5341,11.407224725225603
1,5355,11.465339040783753
1,5368,11.5190087028212
1,5382,11.576488241355229
1,5396,11.6336351055724
1,5410,11.690447034677687
1,5424,11.746921881170623
1,5438,11.803057609535234
1,5452,11.858852294891548
1,5466,11.914304121610998
1,5479,11.965486610711709
1,5493,12.020272480290405
