reg,ros,sim
1,4652,2.7265057997003534
1,4669,2.733593859676135
1,4685,2.740433185681416
1,4701,2.7474378141840528
1,4718,2.755063689988253
1,4734,2.7624157860750587
1,4750,2.7699393902905443
1,4767,2.778123258277596
1,4783,2.786006495472133
1,4799,2.794066802130348
1,4816,2.8028267414833197
1,4832,2.8112573773138387
1,4848,2.819869862592866
1,4865,2.829221409686485
1,4881,2.83821316474826
1,4897,2.8473906278862007
1,4914,2.8573463211075927
1,4930,2.866909949733781
1,4946,2.8766620839179478
1,4963,2.887231009259994
1,4979,2.8973738745427986
1,4995,2.907706845823616
1,5012,2.9188941951977343
1,5028,2.9296198600744097
1,5044,2.9405359064450876
1,5061,2.9523425620432433
1,5077,2.963650409357544
1,5093,2.975147473220987
1,5110,2.9875696322634187
1,5126,2.999454527514003
1,5142,3.011525935404333
1,5159,3.0245547901121634
1,5175,3.0370068008874145
1,5191,3.0496410044104585
1,5208,3.063262491924525
1,5224,3.0762666776944685
1,5240,3.089447069102927
1,5257,3.103641705238369
1,5273,3.117177990151132
1,5289,3.1308828047093944
1,5306,3.145625613832598
1,5322,3.1596687534052545
1,5338,3.173871068700596
1,5355,3.1891316196314228
1,5371,3.203651269741258
1,5387,3.2183191093881014
1,5404,3.234061664112746
1,5420,3.2490225575480602
1,5436,3.264119103391924
1,5453,3.2803028816279705
1,5469,3.295665113768165
1,5485,3.3111490268647836
1,5502,3.3277285853169527
1,5518,3.343448006454323
1,5534,3.359273852967651
1,5551,3.376199573668817
1,5567,3.392228281278314
1,5583,3.4083470552391972
1,5599,3.424550348943381
1,5616,3.441852653098045
1,5632,3.4582123839467247
1,5648,3.4746391345329295
1,5665,3.4921594417777144
1,5681,3.5087058710333467
1,5697,3.525301228556016
1,5714,3.542980701136804
1,5730,3.559658009630355
1,5746,3.5763658084489816
1,5763,3.594144481855963
1,5779,3.610896046920851
1,5795,3.627659568004688
1,5812,3.6454771639193178
1,5828,3.66224632488803
1,5844,3.679009059307013
1,5861,3.696805792051057
1,5877,3.713536602413374
1,5893,3.730242994600367
1,5910,3.747960348706334
1,5926,3.7645982943261207
1,5942,3.781194445057486
1,5959,3.798775903363927
1,5975,3.8152685681325105
1,5991,3.831702879430532
1,6008,3.849094583784047
1,6024,3.8653922468516964
1,6040,3.881615993988814
1,6057,3.898767324004594
1,6073,3.9148234760733254
1,6089,3.930791295339455
1,6106,3.947655354495759
1,6122,3.963427124346075
1,6138,3.9790974089917523
1,6155,3.9956314113597804
1,6171,4.011079897585134
1,6187,4.02641509814175
1,6204,4.042580653038323
1,6220,4.0576711596526724
1,6236,4.072637988443731
1,6253,4.0884012840248465
1,6269,4.103103461999974
1,6285,4.117673004916066
1,6302,4.1330048950307265
1,6318,4.147292794762347
1,6334,4.161440536144075
1,6351,4.176316537515285
1,6367,4.19016857960957
1,6383,4.203874348282232
1,6400,4.218274557203355
1,6416,4.2316734307665715
1,6432,4.244921276861488
1,6449,4.258830216068425
1,6465,4.2717627148648685
1,6481,4.284540728051256
1,6498,4.29794713527479
1,6514,4.310403942723599
1,6530,4.322704022903764
1,6547,4.335600592876905
1,6563,4.347576026947102
1,6579,4.359393618404503
1,6596,4.371776709876161
1,6612,4.383268438591665
1,6628,4.394602238110645
1,6645,4.406471556792912
1,6661,4.41748029436588
1,6677,4.428331943055808
1,6694,4.4396902105063685
1,6710,4.450219403170859
1,6726,4.460593170717939
1,6743,4.471445788027761
1,6759,4.481501297534889
1,6775,4.49140376645814
1,6791,4.501154112622243
1,6808,4.511348271905602
1,6824,4.520788028185018
1,6840,4.530078848761562
1,6857,4.539788446050519
